iso,driver_code,pixel_count,area_ha,driver_label,dataset_name,dataset_version
AUT,1,447,44700.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AUT,2,267,26700.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AUT,4,60262,6026200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AUT,5,65,6500.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AUT,6,2286,228600.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AUT,7,3024,302400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AZE,1,1363,136300.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AZE,2,309,30900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AZE,4,1105,110500.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AZE,5,288,28800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AZE,6,318,31800.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
AZE,7,405,40500.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BDI,1,12317,1231700.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BDI,3,97,9700.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BDI,4,322,32200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BDI,5,22,2200.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BDI,6,395,39500.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BDI,7,132,13200.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEL,1,830,83000.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEL,2,47,4700.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEL,4,17252,1725200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEL,5,13,1300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEL,6,2461,246100.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEL,7,13,1300.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,1,67268,6726800.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,2,46,4600.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,3,22,2200.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,4,135,13500.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,5,2,200.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,6,1230,123000.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BEN,7,64,6400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BFA,1,34076,3407600.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BFA,2,96,9600.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BFA,4,3,300.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BFA,5,8,800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BFA,6,94,9400.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BFA,7,144,14400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,1,7265,726500.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,2,5,500.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,3,7225,722500.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,4,2102,210200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,5,23,2300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,6,751,75100.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGD,7,715,71500.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGR,1,1714,171400.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGR,2,390,39000.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGR,4,35113,3511300.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGR,5,933,93300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGR,6,1207,120700.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BGR,7,715,71500.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHR,1,1,100.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,1,314,31400.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,2,91,9100.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,3,9,900.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,4,41,4100.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,5,464,46400.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,6,378,37800.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BHS,7,2154,215400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BIH,1,773,77300.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BIH,2,338,33800.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BIH,4,11168,1116800.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BIH,5,1846,184600.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BIH,6,1364,136400.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BIH,7,396,39600.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLR,1,2420,242000.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLR,2,444,44400.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLR,4,137462,13746200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLR,5,1233,123300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLR,6,2268,226800.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLR,7,524,52400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,1,6195,619500.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,2,109,10900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,3,1057,105700.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,4,659,65900.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,5,1237,123700.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,6,214,21400.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BLZ,7,1878,187800.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BMU,6,2,200.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,1,173509,17350900.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,2,1527,152700.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,3,11539,1153900.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,4,23872,2387200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,5,110116,11011600.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,6,2231,223100.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BOL,7,58043,5804300.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,1,2660696,266069600.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,2,30026,3002600.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,3,76259,7625900.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,4,453938,45393800.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,5,326494,32649400.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,6,34819,3481900.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRA,7,143351,14335100.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRB,1,127,12700.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRB,2,1,100.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRB,6,33,3300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRB,7,1,100.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,1,841,84100.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,2,86,8600.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,3,35,3500.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,4,792,79200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,5,96,9600.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,6,280,28000.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BRN,7,53,5300.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,1,2921,292100.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,2,126,12600.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,3,467,46700.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,4,1485,148500.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,5,742,74200.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,6,1043,104300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BTN,7,3288,328800.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BWA,1,3760,376000.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BWA,2,79,7900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BWA,4,4,400.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BWA,5,8,800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BWA,6,76,7600.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
BWA,7,132,13200.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,1,72790,7279000.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,2,499,49900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,3,45625,4562500.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,4,6869,686900.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,5,2398,239800.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,6,793,79300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAF,7,546,54600.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAN,1,100968,10096800.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAN,2,46850,4685000.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAN,4,1092940,109294000.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAN,5,1421089,142108900.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAN,6,46267,4626700.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CAN,7,385870,38587000.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHE,1,185,18500.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHE,2,39,3900.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHE,4,15402,1540200.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHE,5,40,4000.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHE,6,1517,151700.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHE,7,1708,170800.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHL,1,27779,2777900.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHL,2,1058,105800.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHL,3,35,3500.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
